name,category,district,latitude,longitude
7-Eleven,shopping,Petaling,3.0865036,101.64859099999998
7-Eleven,shopping,WP Kuala Lumpur,3.1445109,101.71390019999998
7-Eleven,shopping,WP Kuala Lumpur,3.145338499999999,101.7125376
Sate Kajang Hj Samuri,food_drink,Hulu Langat,2.9916233999999995,101.788532
Paradesa Tropika Condominium Swimming Pool,exercise,Petaling,3.181809,101.60695389999998
7-Eleven,shopping,WP Kuala Lumpur,3.1782831,101.699995
Bank Islam,other,Petaling,3.0974561999999994,101.6445734
Kamdar,shopping,WP Kuala Lumpur,3.1550753,101.6964361
7-Eleven,shopping,Petaling,3.0987836,101.6451708
Hong Leong Bank,other,Petaling,3.1502045999999995,101.59247659999998
7-Eleven,shopping,WP Kuala Lumpur,3.1432575,101.70952619999998
7-Eleven,shopping,WP Kuala Lumpur,3.1664286,101.6965103
KK Super Mart,shopping,WP Kuala Lumpur,3.1434679999999995,101.71071449999998
Klinik Mediviron,healthcare,Petaling,3.1113073,101.5864309
myNEWS.com,shopping,Petaling,3.110136,101.5867208
RHB Bank,other,WP Kuala Lumpur,3.1103348,101.665423
KK Super Mart,shopping,WP Kuala Lumpur,3.1444208,101.70848929999998
Al-Unnaz Nasi Kandar,food_drink,Petaling,3.0988735,101.6463647
Maybank,other,Petaling,3.0964415,101.62997919999998
Western Union,other,Petaling,3.1099312999999995,101.63668669999998
House of Pakeeza,food_drink,Petaling,3.1113709,101.63384349999998
99 Speedmart,shopping,Hulu Langat,2.9904461,101.77981629999998
99 Speedmart,shopping,Hulu Langat,2.983658299999999,101.7796416
7-Eleven,shopping,Hulu Langat,2.9675546,101.7753729
7-Eleven,shopping,WP Kuala Lumpur,3.1471075000000006,101.7119009
Dreamville Hostel,other,Gombak,3.1767731999999995,101.7372344
Bank Muamalat,other,WP Kuala Lumpur,3.1500527,101.696983
CIMB ATM,other,Hulu Langat,2.9621009,101.8366902
Starbucks,food_drink,WP Kuala Lumpur,3.1444638,101.7098633
7-Eleven,shopping,WP Kuala Lumpur,3.1446273,101.7097349
CIMB Bank,other,WP Kuala Lumpur,3.1329076,101.6869839
Maybank,other,Hulu Langat,3.1466134999999995,101.7646824
Maybank,other,WP Kuala Lumpur,3.1274474,101.67881749999998
Maybank,other,WP Kuala Lumpur,3.1343716,101.68541790000002
Maybank,other,WP Kuala Lumpur,3.0967497,101.6762447
Maybank,other,WP Kuala Lumpur,3.1576021999999995,101.69497939999998
7-Eleven,shopping,WP Kuala Lumpur,3.163272,101.6979352
CIMB Bank,other,WP Kuala Lumpur,3.1346145999999995,101.6856297
7-Eleven,shopping,WP Kuala Lumpur,3.1540909,101.69975189999998
CIMB Bank,other,WP Kuala Lumpur,3.1680865,101.6914461
KK Super Mart,shopping,WP Kuala Lumpur,3.1430669,101.69874149999998
7-Eleven,shopping,Hulu Langat,3.0981643,101.8013145
CIMB Bank,other,WP Kuala Lumpur,3.1283832000000005,101.6705297
7-Eleven,shopping,WP Kuala Lumpur,3.1666829999999995,101.6953395
Pickup/Dropout Passanger,transport,Hulu Langat,3.0014916,101.7841124
Maybank,other,Hulu Langat,3.1482439,101.76532840000002
KK Super Mart,shopping,WP Kuala Lumpur,3.1461277,101.7076037
Hong Leong Bank,other,Hulu Langat,3.1588953,101.75117
7-Eleven,shopping,Petaling,3.113373399999999,101.6050065
Starbucks,food_drink,WP Kuala Lumpur,3.1565733,101.70965579999998
7-Eleven,shopping,WP Kuala Lumpur,3.1702826,101.6960908
Bank Islam,other,WP Kuala Lumpur,3.1564936,101.70082109999998
Mala Tang Jalan Sultan,food_drink,WP Kuala Lumpur,3.1432362999999994,101.6987369
7-Eleven,shopping,WP Kuala Lumpur,3.145308,101.71134709999998
KK Super Mart,shopping,WP Kuala Lumpur,3.1474192,101.7091913
99 Speedmart,shopping,WP Kuala Lumpur,3.2340726000000006,101.6714172
Klinik Pakar Kulit Chow,healthcare,WP Kuala Lumpur,3.1354509,101.7122176
99 Speedmart,shopping,Hulu Langat,2.9760529,101.7949005
7-Eleven,shopping,WP Kuala Lumpur,3.14941,101.711234
A,other,WP Kuala Lumpur,3.1430789000000003,101.709716
7-Eleven,shopping,WP Kuala Lumpur,3.147216,101.7132782
KK Super Mart,shopping,WP Kuala Lumpur,3.1481837,101.7092389
Mediahouse,other,WP Kuala Lumpur,3.1393645,101.6289599
Gulati's Silk House,shopping,WP Kuala Lumpur,3.1551639,101.6961403
7-Eleven,shopping,WP Kuala Lumpur,3.1620658999999995,101.6971273
7-Eleven,shopping,WP Kuala Lumpur,3.1472090000000006,101.6946212
Ramai Seafood,food_drink,Sepang,2.8859788000000006,101.6615558
99 Speedmart,shopping,WP Kuala Lumpur,3.2070547999999994,101.6591025
KK Super Mart,shopping,WP Kuala Lumpur,3.1452781,101.69835829999998
99 Speedmart,shopping,WP Kuala Lumpur,3.1329859,101.6903761
7-Eleven,shopping,Petaling,3.1011606,101.59944849999998
Wong Mei Kee BBQ,food_drink,WP Kuala Lumpur,3.1392448,101.711037
7-Eleven,shopping,WP Kuala Lumpur,3.0822757,101.7357077
Hong Leong Bank,other,Klang,3.0420332999999995,101.4270076
Maybank,other,Sepang,2.9791223,101.6127138
Apartment Taman Topaz Car Park,transport,Sepang,2.8576806999999995,101.6407407
