scope,scenario,n_hexes,population,gini,atkinson_0.5,atkinson_1.0,theil,pop_share_holding_bottom_10pct_access,access_share_of_worst_served_50pct_pop,mean_accessibility
Klang Valley,current,1585,8358900.0,0.4968816863699008,0.22448596398447096,0.5139096341932542,0.42339530970168127,0.4176646551767038,0.15054932071706292,5.57958250542539
Gombak,current,236,966200.0,0.47151278104250993,0.18603415015745717,0.3642161172341325,0.3846184971004334,0.36017207768943726,0.17923257257079536,1.811517496238206
Hulu Langat,current,324,1460300.0,0.4235978154458758,0.17436526029674282,0.4025081852464836,0.3114059212082704,0.36119931621080936,0.206180278866585,3.2513983358829566
Klang,current,312,1134000.0,0.5103190500625372,0.2877222596296479,0.7252750462185145,0.47061748907416223,0.4759805288467561,0.11846650213905993,1.020029252978879
Petaling,current,138,2334699.9999999995,0.2871844513235441,0.0715038602438065,0.1563919784809562,0.1336447181153101,0.2550583736491217,0.2903809623389541,6.548247093901874
Sepang,current,250,339200.0,0.4783159689682144,0.20134622266829794,0.44692935934710964,0.3807982141407961,0.3953180365550173,0.16710999308943852,2.078947212089722
WP Kuala Lumpur,current,277,2005700.0000000002,0.3188846061757795,0.08219068115136974,0.1611921296903468,0.16690724281041505,0.2565076070590834,0.28216977301803003,11.276084261047497
WP Putrajaya,current,48,118800.0,0.14790240712736846,0.017358828220904177,0.03414679914873986,0.03525431647249935,0.1516018711619888,0.39596795661678214,3.1510122063173656
Klang Valley,equity_siting,1585,8358900.0,0.47525753566016504,0.19488671911120747,0.4082512268169388,0.38210745962169645,0.39032886426275976,0.16681639727303615,5.720764356675143
Gombak,equity_siting,236,966200.0,0.42047285748926655,0.14787673769684506,0.29426055953737584,0.30414903767729573,0.32225433980966084,0.2133562322906751,2.0256254080644034
Hulu Langat,equity_siting,324,1460300.0,0.39758718925145653,0.14397547185860293,0.3194724934652682,0.2677425529965928,0.3362322439813567,0.22483127291924668,3.374325972425802
Klang,equity_siting,312,1134000.0,0.3716907995147072,0.14133300922752368,0.3668995350792501,0.24088805427442683,0.3240364847060509,0.22954105977107897,1.3266580100242287
Petaling,equity_siting,138,2334699.9999999995,0.27087129686383016,0.060775631136759656,0.1272875424084028,0.11654951582429507,0.23692857151860755,0.30230117900984543,6.674810783204613
Sepang,equity_siting,250,339200.0,0.47815752227764163,0.20124238364940716,0.4468421652725171,0.38048332654853134,0.39534241263041603,0.16712279825153023,2.0808965808183277
WP Kuala Lumpur,equity_siting,277,2005700.0000000002,0.31320499178215155,0.07882000643153364,0.1537748154640094,0.1609108211338952,0.2496336345352593,0.2861559424419895,11.350785368113241
WP Putrajaya,equity_siting,48,118800.0,0.1478611551781146,0.01735038964127633,0.03413071639338472,0.03523674530091023,0.1515907042746846,0.3959962594941933,3.151417864082757
Klang Valley,market_siting,1585,8358900.0,0.5053210183319294,0.2308122241135625,0.524398216064182,0.43488702248249145,0.42645400710839537,0.1445327675613484,6.032658196549361
Gombak,market_siting,236,966200.0,0.4835533217180076,0.19538543892009175,0.37823041347559117,0.40804662029586075,0.3681327452176433,0.17254742957552252,1.9090498469089816
Hulu Langat,market_siting,324,1460300.0,0.42874558085819214,0.17738642868743348,0.4068966183462144,0.3187527989987622,0.3633166303101285,0.20363282254389906,3.3058328434248345
Klang,market_siting,312,1134000.0,0.5110196404784588,0.28863307405968963,0.7269357134137504,0.47135512838408583,0.47797049357843935,0.11689382788454003,1.0527015286123587
Petaling,market_siting,138,2334699.9999999995,0.30474752919246606,0.07932290698043198,0.17141508577981934,0.14961591072950672,0.2606012223906739,0.2785942534562935,7.332220934214224
Sepang,market_siting,250,339200.0,0.458280294485758,0.18385714525608587,0.4139257729773398,0.3489419743217421,0.3777792766667828,0.18032827747436458,2.1583586368435728
WP Kuala Lumpur,market_siting,277,2005700.0000000002,0.3191363805993501,0.08300436871434635,0.16477276518771733,0.16631545027015304,0.2633070823818405,0.2765084133725851,12.118684680959117
WP Putrajaya,market_siting,48,118800.0,0.15809679505380048,0.019513841325159875,0.03837702645657193,0.03960229040620478,0.15374113358463884,0.38957536616729704,3.396414756113722
