station_id,station_name,operator,latitude,longitude,address,town,postcode,status,total_ports,max_power_kw,district,state,source
459549,[Restricted] RESIDENSI SUNGAI LONG (Residential Condo),ChargeSini,3.04404,101.803787,Sungai Long Residence,Kajang,43000.0,Operational,2.0,22.0,Hulu Langat,Selangor,OCM
459544,[Restricted] IRIS RESIDENCES (Residential Condo),ChargeSini,3.04221,101.807518,Iris Residence,Kajang,43000.0,Operational,3.0,22.0,Hulu Langat,Selangor,OCM
459575,[Restricted] GREEN RESIDENCE (Residential Condo),ChargeSini,3.072992,101.755684,Jalan Sayang 1,Cheras,43200.0,Operational,6.0,22.0,Hulu Langat,Selangor,OCM
459574,[Restricted] IMPERIAL RESIDENCE (Residential Condo),ChargeSini,3.072718,101.759346,Imperial Residence,Cheras,43200.0,Operational,2.0,22.0,Hulu Langat,Selangor,OCM
459576,[Restricted] YOU CITY-YOU VISTA (Residential Condo),ChargeSini,3.074682,101.762955,You City - You Vista,Cheras,43200.0,Operational,5.0,22.0,Hulu Langat,Selangor,OCM
459559,BMC MALL (Shopping Mall),ChargeSini,3.054651,101.786812,BMC Mall,Cheras,43200.0,Operational,2.0,40.0,Hulu Langat,Selangor,OCM
459557,[Restricted] EMERALD RESIDENCES (Residential Condo),ChargeSini,3.052281,101.794403,Emerald Residence,Cheras,43200.0,Operational,4.0,22.0,Hulu Langat,Selangor,OCM
459552,[Restricted] THE NETIZEN (Residential Condo),ChargeSini,3.049329,101.772591,The Netizen Cheras Homestay,Cheras,43200.0,Operational,2.0,60.0,Hulu Langat,Selangor,OCM
459543,[Restricted] PARKLAND RESIDENCES (Residential Condo),ChargeSini,3.041734,101.772774,"10, Jalan Seksyen 2/2",Cheras,43200.0,Operational,2.0,22.0,Hulu Langat,Selangor,OCM
459553,[Restricted] VINA RESIDENCY (Residential Condo),ChargeSini,3.049642,101.753036,Vina Residency,Cheras,43200.0,Operational,2.0,22.0,Hulu Langat,Selangor,OCM
459562,[Restricted] CASA GREEN CONDOMINIUM (TOWER A) (Residential Condo),ChargeSini,3.057322,101.761642,Casa Green Condominium - Cheras,Cheras,43200.0,Operational,3.0,22.0,Hulu Langat,Selangor,OCM
484840,[Public] SAVILLE @ CHERAS (Residential Condo),Unknown,3.0623,101.773537,Saville @ Cheras Service Apartment,Cheras,43200.0,Operational,4.0,22.0,Hulu Langat,Selangor,OCM
