model,variant,converged,dec_2030_monthly,mean_2030_monthly,cumulative_stock_2030,peak_monthly,peak_over_ceiling_ratio,growth_vs_last12,exceeds_policy_ceiling,plausible,note,trend_dec_2030,policy_ceiling_monthly
SeasonalNaive,base,True,5105.766288707978,2753.968917081121,217634.62373922116,5105.766288707978,0.8117275498740824,1.0,no,NO,"2030 mean is 1.00x the last 12 actual months -- projects flat/declining demand, implausible under a 15% penetration policy",,6290.0
NaiveDrift,base,True,5277.508651244541,5054.3624029994,297632.7689942573,5277.508651244541,0.839031582073854,1.835301179926323,no,yes,under the ceiling and still growing,,6290.0
ETS,base,True,6518.610793029431,5134.902711139827,302681.12976023776,6518.610793029431,1.0363451181286853,1.864546356820255,YES,borderline,"peak 6,519/mo is 1.04x the ceiling -- seasonal overshoot of a saturating trend, not runaway growth",,6290.0
ETS,tuned,True,7489.122832454408,4216.11610470613,278185.3368506497,7489.122832454408,1.19063956000865,1.5309236348152797,YES,borderline,"peak 7,489/mo is 1.19x the ceiling -- seasonal overshoot of a saturating trend, not runaway growth",,6290.0
ARIMA,base,True,2992.8896696618262,2992.8896696618262,232149.7974903939,2992.8896696618262,0.4758171175932951,1.0867550650622204,no,yes,under the ceiling and still growing,,6290.0
ARIMA,tuned,True,4100.692717439616,4100.692636278997,294259.0968890081,4409.808527488379,0.701082436802604,1.4890119532014336,no,yes,under the ceiling and still growing,,6290.0
SARIMA,base,True,361540.5153867654,179647.1590664972,3615063.403120314,361540.5153867654,57.47861929837288,65.23209392533805,YES,NO,"peak 361,541/mo is 57x the ceiling -- runaway extrapolation, unusable",,6290.0
SARIMA,tuned,True,511763.30197630596,266832.8513570259,5073520.031790462,511763.30197630596,81.3614152585542,96.89029157229449,YES,NO,"peak 511,763/mo is 81x the ceiling -- runaway extrapolation, unusable",,6290.0
ProphetLogistic,base,True,6864.416205751467,6179.3899810214925,372265.770231796,6864.416205751467,1.0913221312800425,2.2438125364068777,YES,borderline,"peak 6,864/mo is 1.09x the ceiling -- seasonal overshoot of a saturating trend, not runaway growth",6230.498452695115,6290.0
ProphetLogistic,tuned,True,6786.558527704621,6202.164594323692,374481.5883835723,6786.558527704621,1.0789441220516092,2.252082278727113,YES,borderline,"peak 6,787/mo is 1.08x the ceiling -- seasonal overshoot of a saturating trend, not runaway growth",6236.927324119227,6290.0
