series,model,variant,h,origin,origin_month,converged,MASE,MAE,RMSE,MAPE
full_2020_2026,SeasonalNaive,base,6,36,2023-01,True,4.8398243045388,432.86606559443067,448.7732162345497,82.71782072303499
full_2020_2026,SeasonalNaive,base,6,37,2023-02,True,5.002375399499006,485.3505522504834,497.2120104439056,81.10068785590211
full_2020_2026,SeasonalNaive,base,6,38,2023-03,True,3.946992427489641,445.2276812140199,464.945779900311,74.44518911540047
full_2020_2026,SeasonalNaive,base,6,39,2023-04,True,4.292565712043939,509.44522676324215,525.1597405037803,76.56686535040045
full_2020_2026,SeasonalNaive,base,6,40,2023-05,True,3.910014353538699,529.9780798262886,550.0779396026895,74.13198448880146
full_2020_2026,SeasonalNaive,base,6,41,2023-06,True,4.620455217262784,677.5841510805367,753.9210634883675,72.31525228319899
full_2020_2026,SeasonalNaive,base,6,42,2023-07,True,4.455412746786802,704.5073308621845,774.066821720002,70.75411873621564
full_2020_2026,SeasonalNaive,base,6,43,2023-08,True,3.848229706390329,662.603549100865,748.2876971418372,65.83978761574417
full_2020_2026,SeasonalNaive,base,6,44,2023-09,True,4.327800209361448,757.9346526078671,815.6442894121877,67.80820645538125
full_2020_2026,SeasonalNaive,base,6,45,2023-10,True,3.9302278887661886,745.677796442681,806.2725094962603,64.72643881091781
full_2020_2026,SeasonalNaive,base,6,46,2023-11,True,3.7588837824036534,771.1343438626827,830.8535268696568,61.94358631013327
full_2020_2026,SeasonalNaive,base,6,47,2023-12,True,2.7566621328900305,655.1656278382308,677.8390048676968,58.9820869069602
full_2020_2026,SeasonalNaive,base,6,48,2024-01,True,2.5909473094170403,645.6325174875305,669.0077703287755,55.02893248455426
full_2020_2026,SeasonalNaive,base,6,49,2024-02,True,2.6003464488987875,654.537071111811,673.9049575607382,52.09460859599867
full_2020_2026,SeasonalNaive,base,6,50,2024-03,True,2.168101046374838,579.2150233958391,601.5597106792358,49.031470444247965
full_2020_2026,SeasonalNaive,base,6,51,2024-04,True,1.826043679372329,502.6358622270277,554.727811903472,41.51150262989163
full_2020_2026,SeasonalNaive,base,6,52,2024-05,True,1.324087116697367,384.0481598424935,431.8823589172745,34.42272483542585
full_2020_2026,SeasonalNaive,base,6,53,2024-06,True,1.0652538314176248,318.25922247722184,356.7999364709282,28.04023575229125
full_2020_2026,SeasonalNaive,base,6,54,2024-07,True,0.8149253731343283,249.2227420254479,271.50582799014506,22.50122735556289
full_2020_2026,SeasonalNaive,base,6,55,2024-08,True,0.9808450035604079,302.02150704471046,363.67198953364516,25.332399847107418
full_2020_2026,SeasonalNaive,base,6,56,2024-09,True,1.0093480934809351,312.60221193944375,375.64508374654474,22.567636517588106
full_2020_2026,SeasonalNaive,base,6,57,2024-10,True,1.3953010010513325,426.3709794214262,496.93481720215283,27.868968867130196
full_2020_2026,SeasonalNaive,base,6,58,2024-11,True,1.913547881636835,578.4817072150162,658.0286489493102,32.40827353535181
full_2020_2026,SeasonalNaive,base,6,59,2024-12,True,2.25339607564592,678.8412645333764,737.6663296223464,36.73984583332139
full_2020_2026,SeasonalNaive,base,6,60,2025-01,True,2.4896993074427978,743.7921262634214,770.0510852450075,39.32153709505481
full_2020_2026,SeasonalNaive,base,6,61,2025-02,True,2.6098004008685485,801.7241045484458,834.0870788272393,38.69539339862796
full_2020_2026,SeasonalNaive,base,6,62,2025-03,True,3.026002811114715,938.2256736359441,964.5524681278433,44.212716835753746
full_2020_2026,SeasonalNaive,base,6,63,2025-04,True,3.4229968782518214,1094.6315390600694,1152.9967850752887,47.46701118424947
full_2020_2026,SeasonalNaive,base,6,64,2025-05,True,3.8753285586823893,1295.0363753335798,1413.6498830573855,51.76016702857932
full_2020_2026,SeasonalNaive,base,6,65,2025-06,True,5.038221977062217,1733.1404136481754,1974.596691836901,56.20370581051609
full_2020_2026,SeasonalNaive,base,6,66,2025-07,True,6.0726081433442545,2114.464827676183,2281.829997593143,62.932840395886814
full_2020_2026,SeasonalNaive,base,6,67,2025-08,True,5.793382065968378,2092.255823342684,2272.1372807216853,61.57193686627057
full_2020_2026,SeasonalNaive,base,6,68,2025-09,True,5.467301209597461,2063.1326950185667,2256.9401850301424,58.19626552561883
full_2020_2026,NaiveDrift,base,6,36,2023-01,True,3.0161054172767203,269.75559508849443,293.4453983052043,48.6067209364583
full_2020_2026,NaiveDrift,base,6,37,2023-02,True,2.678082980622498,259.8383667383155,273.5717878132894,42.62216589359687
full_2020_2026,NaiveDrift,base,6,38,2023-03,True,0.7859095700930248,88.65198045464024,97.58483126168312,16.601726012864535
full_2020_2026,NaiveDrift,base,6,39,2023-04,True,1.630716896202845,193.53482152685217,217.81520210455625,27.735510397415492
full_2020_2026,NaiveDrift,base,6,40,2023-05,True,0.9194135149749589,124.62077250222164,139.29911769975445,18.411067505922755
full_2020_2026,NaiveDrift,base,6,41,2023-06,True,2.3138886836141492,339.3289677440853,539.0290911669649,26.63985423461041
full_2020_2026,NaiveDrift,base,6,42,2023-07,True,2.2708102395718535,359.0694177389166,532.0624326998958,29.090413799807603
full_2020_2026,NaiveDrift,base,6,43,2023-08,True,1.7730249385042134,305.28651004028,466.44530651702934,26.433058922390956
full_2020_2026,NaiveDrift,base,6,44,2023-09,True,2.8580132920174854,500.5284918070543,648.6115074748068,37.95308643419729
full_2020_2026,NaiveDrift,base,6,45,2023-10,True,1.6672397349663695,316.32355346745186,458.12523191236835,24.616552169559995
full_2020_2026,NaiveDrift,base,6,46,2023-11,True,1.8503292514827172,379.5947190364156,458.5752339820207,30.846174945045945
full_2020_2026,NaiveDrift,base,6,47,2023-12,True,3.7883262917430516,900.3574082485953,940.2173313050567,95.63278963494017
full_2020_2026,NaiveDrift,base,6,48,2024-01,True,1.225413844098846,305.3582071136837,354.0086080514123,25.840688827032416
full_2020_2026,NaiveDrift,base,6,49,2024-02,True,2.201351628759758,554.1054916685484,585.8512587785442,43.263028887188156
full_2020_2026,NaiveDrift,base,6,50,2024-03,True,1.405147087625838,375.3894702438536,414.20877495475855,35.095733924919074
full_2020_2026,NaiveDrift,base,6,51,2024-04,True,0.6679559693190468,183.86122323414165,239.25744385422695,14.818367592411654
full_2020_2026,NaiveDrift,base,6,52,2024-05,True,1.903059197457291,551.9775652509817,567.2918010963667,51.80119941920896
full_2020_2026,NaiveDrift,base,6,53,2024-06,True,0.7062154948739001,210.99158498292095,234.29059659774072,18.946899697117722
full_2020_2026,NaiveDrift,base,6,54,2024-07,True,0.738187811329988,225.7546476456297,240.37253163565975,20.104108830070462
full_2020_2026,NaiveDrift,base,6,55,2024-08,True,0.5932561765024773,182.6752686107004,217.39410899971375,14.989946308194513
full_2020_2026,NaiveDrift,base,6,56,2024-09,True,1.0581303813038132,327.7104299817522,442.93646315148294,20.738822523401236
full_2020_2026,NaiveDrift,base,6,57,2024-10,True,1.4071284911093844,429.98518059834004,521.4803573229296,25.926744259189284
full_2020_2026,NaiveDrift,base,6,58,2024-11,True,1.841177478137579,556.6035222112115,691.5460033946819,28.42700069106242
full_2020_2026,NaiveDrift,base,6,59,2024-12,True,1.256335463183795,378.4742343892422,460.4066500530657,22.95510114425092
full_2020_2026,NaiveDrift,base,6,60,2025-01,True,2.6292270728797216,785.4757356120969,865.8211496634244,38.99621440536443
full_2020_2026,NaiveDrift,base,6,61,2025-02,True,1.9883828155447931,610.826188762035,674.8041999471379,28.59731728133474
full_2020_2026,NaiveDrift,base,6,62,2025-03,True,0.7586110328276514,235.2107356569803,311.6296216851177,10.5267070489278
full_2020_2026,NaiveDrift,base,6,63,2025-04,True,1.2132433111168301,387.980018719856,466.2790742059269,16.029231674107624
full_2020_2026,NaiveDrift,base,6,64,2025-05,True,1.634970012022751,546.3654516222335,599.8647192733877,25.36775672738439
full_2020_2026,NaiveDrift,base,6,65,2025-06,True,2.44483783168425,841.0203580150084,1290.2393226875774,22.564512235961246
full_2020_2026,NaiveDrift,base,6,66,2025-07,True,4.050988217505569,1410.5425380747438,1725.6277663094977,38.133915026493675
full_2020_2026,NaiveDrift,base,6,67,2025-08,True,2.8153908631583393,1016.7666936781264,1405.9562636865462,25.111924592728467
full_2020_2026,NaiveDrift,base,6,68,2025-09,True,2.9146374019255306,1099.8632574844492,1415.089299064122,27.962480901651638
full_2020_2026,ETS,base,6,36,2023-01,True,0.932957667582561,83.44222631261478,100.29745553347358,16.80110315196479
full_2020_2026,ETS,base,6,37,2023-02,True,1.2981739066601887,125.95404626725781,142.90225572597421,20.202475191208237
full_2020_2026,ETS,base,6,38,2023-03,True,0.7784817630124028,87.81411076429636,107.3376204875571,15.507938157264636
full_2020_2026,ETS,base,6,39,2023-04,True,0.8957316201995471,106.30616488670626,123.19352576493901,15.45006994252506
full_2020_2026,ETS,base,6,40,2023-05,True,0.6501384294354995,88.12221268233122,113.42906658049037,13.262579003364353
full_2020_2026,ETS,base,6,41,2023-06,True,1.6516187992973717,242.20789281743978,396.34363206433704,20.611975818896312
full_2020_2026,ETS,base,6,42,2023-07,True,1.5932724550547155,251.93448698021362,406.7312719479589,20.99543136139418
full_2020_2026,ETS,base,6,43,2023-08,True,1.6257586988408577,279.92962115663585,413.13708287556506,26.664139766600048
full_2020_2026,ETS,base,6,44,2023-09,True,2.1083893260522686,369.24563383191474,488.03713331711396,28.905753797721584
full_2020_2026,ETS,base,6,45,2023-10,True,1.6452619944199454,312.1537410277485,444.23756136419433,24.43282961407968
full_2020_2026,ETS,base,6,46,2023-11,True,1.6466174925382906,337.8032876795591,435.39921792416277,26.810461141163493
full_2020_2026,ETS,base,6,47,2023-12,True,2.597606115301054,617.3633762014366,649.6419468155026,62.44622644358847
full_2020_2026,ETS,base,6,48,2024-01,True,1.1181395340987654,278.6267554259714,329.8255891352674,29.89332438992601
full_2020_2026,ETS,base,6,49,2024-02,True,0.6728833595376316,169.37247094061334,188.2065269957761,14.068915533055758
full_2020_2026,ETS,base,6,50,2024-03,True,0.9387978329588026,250.8027980016876,287.53516431028663,23.23887632975906
full_2020_2026,ETS,base,6,51,2024-04,True,1.0795435089455048,297.1546018093774,358.29855019868046,28.142670906134665
full_2020_2026,ETS,base,6,52,2024-05,True,1.4576732001355954,422.79446956642033,479.9216907617671,40.061006895270104
full_2020_2026,ETS,base,6,53,2024-06,True,1.7656069085947546,527.4993296029565,581.0927433238191,45.21544815604037
full_2020_2026,ETS,base,6,54,2024-07,True,1.744546418598335,533.5220332648604,563.3017240935228,46.26280810529836
full_2020_2026,ETS,base,6,55,2024-08,True,1.4054624404631462,432.7695842080857,471.49847803570646,36.81724953954903
full_2020_2026,ETS,base,6,56,2024-09,True,1.1477654277754448,355.47103504486176,399.88375621636914,28.405135384740753
full_2020_2026,ETS,base,6,57,2024-10,True,1.6068778573034646,491.02386174227036,575.421277873644,31.82362420307971
full_2020_2026,ETS,base,6,58,2024-11,True,2.545833141667807,769.6268884668874,884.4615870716754,43.103255071943295
full_2020_2026,ETS,base,6,59,2024-12,True,3.588117243670135,1080.9293906704145,1152.0798378158422,58.99812864518926
full_2020_2026,ETS,base,6,60,2025-01,True,2.5488442081923446,761.4615337113951,829.8822100706305,38.060023702799164
full_2020_2026,ETS,base,6,61,2025-02,True,1.980394577232396,608.372222088647,660.1886810564088,28.649599815930127
full_2020_2026,ETS,base,6,62,2025-03,True,1.5854761349634292,491.5839500531727,550.6229437003024,22.22910166958172
full_2020_2026,ETS,base,6,63,2025-04,True,1.480070888533338,473.3081367753625,559.3153920776954,19.43235121306418
full_2020_2026,ETS,base,6,64,2025-05,True,1.0410432952780375,347.8902279554277,440.6463600156029,14.054090708664043
full_2020_2026,ETS,base,6,65,2025-06,True,2.0377995819335184,700.9998420958265,1063.5918465266834,19.282061866572672
full_2020_2026,ETS,base,6,66,2025-07,True,3.510604749412472,1222.3825564377144,1521.1330291213633,32.48620294197198
full_2020_2026,ETS,base,6,67,2025-08,True,2.803773865907221,1012.5712634662672,1334.3949446310648,25.767241416306142
full_2020_2026,ETS,base,6,68,2025-09,True,2.6379976274215147,995.470881494647,1283.8922072250407,25.38091429853434
