model,variant,h,folds,converged,MASE_mean,MASE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,series
ARIMA,base,6,33,33,1.9919789052386727,0.9733159013820497,490.19766160387786,334.57672916065445,608.5285032721205,425.1182179627792,29.468730462786088,10.08593078962283,full_2020_2026
ARIMA,base,12,27,27,2.8232956299455285,1.3975056058662956,599.7653827401119,334.35251619313755,751.0761539909086,410.13388780385736,36.87051516230912,11.744864015532375,full_2020_2026
ARIMA,tuned,6,33,33,1.9289281370368914,0.8099858278855062,490.3636636365416,297.09859566395403,582.3685266119423,331.2072958629191,31.44745977290227,9.92350938930556,full_2020_2026
ARIMA,tuned,12,27,27,2.6049268256029627,1.4984264465684765,576.9579000509259,402.8196029141227,708.808303931169,477.97398795185916,35.3004832145656,13.097180893631762,full_2020_2026
ETS,base,6,33,33,1.700644244576314,0.7548755946150898,458.36092828578853,300.9982599176559,555.6327972926792,366.34248285036875,28.589788308581262,12.248022470381006,full_2020_2026
ETS,base,12,27,27,2.26123623715018,1.2812182486409238,550.8576502822914,439.0767057823009,678.8592008552898,495.0001892377929,34.102257679570876,18.24849023090208,full_2020_2026
ETS,tuned,6,33,33,2.3229916305745046,1.6140425327556784,579.0366842034971,457.9787134567612,666.495275516994,488.92997099610557,42.49233704366109,34.19332632849944,full_2020_2026
ETS,tuned,12,27,27,2.83333580232705,2.8178182452625005,654.1039432140736,730.9635125830663,770.6940116501486,831.3153989308842,48.40228314425136,60.364276707630395,full_2020_2026
NaiveDrift,base,6,33,33,1.8486517694980922,0.9055452248075496,462.23722448332904,305.246416675411,569.3678329289683,391.0725094196973,29.738994632873066,15.411780550050954,full_2020_2026
NaiveDrift,base,12,27,27,2.4194649224002283,1.1963512340536282,525.6068659530906,295.0268593525239,667.1787885056409,357.2730541479529,33.89805383702412,16.214971666386308,full_2020_2026
ProphetLogistic,base,6,33,33,1.9817534110658175,0.7887018248831771,487.46297484643344,263.56542834861494,587.8872796841562,307.31642252126386,40.605281365515665,23.807741764336082,full_2020_2026
ProphetLogistic,base,12,27,27,3.4640265367427556,1.411617596538346,727.4527227258237,297.75242212977537,880.0720461566057,300.44792720160603,62.309490560934904,31.296055922355464,full_2020_2026
ProphetLogistic,tuned,6,33,33,1.8984342605448514,0.7307441189798392,469.54778050555433,251.65781878843705,560.404353035458,296.19426790057014,37.94796832273086,21.87056289758963,full_2020_2026
ProphetLogistic,tuned,12,27,27,3.219513722133907,1.2913579869185032,678.6225910663599,277.46274479776037,813.5619679642273,283.95568348634066,57.32697599151464,29.17984805611766,full_2020_2026
SARIMA,base,6,33,33,3.8482657276013206,2.4746427501205335,855.283483053723,509.12242436104697,1028.7407651604394,587.5928387791703,75.99140883760116,53.3679515465778,full_2020_2026
SARIMA,base,12,27,27,8.591518759462362,6.092288210509762,1711.184323631388,1280.6978262955506,2192.594202133282,1531.690530037468,149.00054791690636,124.9247989686751,full_2020_2026
SARIMA,tuned,6,33,33,3.888114222750887,2.5920041778943825,854.4369897731767,517.55922261297,1032.6493187219123,588.4273724676774,75.7420816725907,55.11245109656797,full_2020_2026
SARIMA,tuned,12,27,27,8.824324299208405,6.412172043316553,1724.9681030629924,1280.142399295051,2209.1756242260253,1526.0217655834567,150.94218549769732,126.75541749368564,full_2020_2026
SeasonalNaive,base,6,33,33,3.255361457393686,1.5029748545956287,784.4165728694524,511.61866419057066,848.6433423666804,559.9861485036208,52.704285620943025,17.880269902119807,full_2020_2026
SeasonalNaive,base,12,27,27,3.409021954829736,1.523628410735159,709.2292662699184,313.5193302139683,810.4180994291269,383.17461852240416,49.612465265821854,14.604525702546812,full_2020_2026
ARIMA,base,6,22,22,1.3591338315311328,0.8503658142997145,557.0456383255055,384.36220098103473,684.9523854827286,489.5303838484206,26.009626431012272,8.940748216263705,from_2021_no_covid
ARIMA,base,12,16,16,1.7374884314009456,1.0553602863208738,678.1025191481853,416.79132038100863,850.8809854736771,510.74518930927496,31.85295067977146,10.231328144854562,from_2021_no_covid
ARIMA,tuned,6,22,22,1.6076708201683991,1.30372623863026,630.5134487855499,457.35415069309386,760.2943210192248,510.0754679414589,36.57493233871198,41.949648626747305,from_2021_no_covid
ARIMA,tuned,12,16,16,3.0596675646513667,3.6098188207315114,1136.8782857629992,1225.7979627804589,1387.5000864225858,1477.9814844204109,72.04467245436554,112.33711207802922,from_2021_no_covid
ETS,base,6,22,22,1.4396746941833607,0.6969330831300008,581.5967544701668,292.1370511625943,687.0903088811174,370.8516699077573,32.802467987015255,18.70648160703073,from_2021_no_covid
ETS,base,12,16,16,1.9428192617105045,1.1780268346161873,742.2341280035972,424.4656540240783,882.6113300455306,491.41531955810535,43.35442366941082,30.59781585121042,from_2021_no_covid
ETS,tuned,6,22,22,1.5335311784260788,0.8793577117026417,620.5421780743529,370.69630938932795,736.5393098014923,415.2226740971368,34.48966432691178,17.703242421837107,from_2021_no_covid
ETS,tuned,12,16,16,1.6325768082013452,0.7677053180569886,627.3018020026416,279.9026811387846,787.4573498393776,322.67219150082866,37.38057535295862,21.099092877310806,from_2021_no_covid
NaiveDrift,base,6,22,22,1.355302487261529,0.774481863888136,547.0822343447038,331.0667010642143,662.6859509439045,428.3347100555368,29.72904410557793,18.692718949274443,from_2021_no_covid
NaiveDrift,base,12,16,16,1.634309607151558,0.8950040206857921,628.7425800695756,333.4847821035871,780.6172663886418,412.650023365616,34.5461844922114,20.844546623141884,from_2021_no_covid
ProphetLogistic,base,6,22,22,1.5015100841549947,0.68766292415603,602.1395832256759,284.49417954296115,726.5148205511296,325.40514998014265,42.3701368346316,30.380908866812664,from_2021_no_covid
ProphetLogistic,base,12,16,16,2.1919034913069164,1.000063307048546,834.0499647930155,347.51589667799675,993.5739029299007,339.0294874652854,60.89155385079603,39.72640297808588,from_2021_no_covid
ProphetLogistic,tuned,6,22,22,1.3967402916916019,0.623121342825356,560.1569142535126,257.6797753397973,663.8697256383674,299.8410993003758,38.09119069197368,25.954793245437497,from_2021_no_covid
ProphetLogistic,tuned,12,16,16,1.9940015254266426,0.9449353446402331,756.697365801341,317.9016973591426,892.1838100400189,324.2280758620275,54.352945296442165,36.833293078784635,from_2021_no_covid
SARIMA,base,6,22,22,1.7617732415929188,0.9207576092475586,707.5333211243304,370.9532853823406,835.7431539379747,409.44803609698346,41.526101691613206,26.53831951039035,from_2021_no_covid
SARIMA,base,12,16,16,2.7225736352056136,1.8802270818173072,1022.8299146706444,633.0681414857764,1321.5277565266285,778.1625528791711,65.85105078768096,59.252140519363614,from_2021_no_covid
SARIMA,tuned,6,22,22,1.470960754252829,0.7771458196432974,604.9908308962423,355.167679013376,715.5451003207462,396.84304736120407,32.21274131203241,13.93190696852408,from_2021_no_covid
SARIMA,tuned,12,16,16,1.9595778370446162,0.737929434811725,754.1401245998154,281.58848535622394,996.2910688243288,337.6482160314791,42.740126836075646,12.439319274761829,from_2021_no_covid
SeasonalNaive,base,6,22,22,2.123445859953175,1.3135490538260257,871.0653397766656,605.8248938913692,945.0007137857683,661.1039266207158,43.04052217027224,13.141409530244182,from_2021_no_covid
SeasonalNaive,base,12,16,16,1.9731619004414795,1.0127831315805464,766.0305941934719,401.040096264311,896.3291238160095,484.19501755114146,39.51811633699309,7.083691472173067,from_2021_no_covid
