model,variant,converged,MASE,MAE,RMSE,MAPE
ProphetLogistic,tuned,True,1.4689188825106325,442.51552688740804,728.3213291615318,16.93514784555682
ProphetLogistic,base,True,1.4938643796273166,450.03042095779443,738.9798225137421,17.560898815977524
NaiveDrift,base,True,2.341202018408358,705.2930267702094,1090.978169950739,25.6210755228036
ProphetLinear (09 reference),base,True,2.659524730241355,801.1885484522842,1133.7175964079802,28.535985474205
SARIMA,base,True,3.12419281819268,941.1709846614916,1261.6369030452615,34.43445224349519
"ARIMA(1,1,1)-log (09 reference)",base,True,3.536789609092873,1065.466810994115,1443.6654754412775,38.495362792749084
ARIMA,base,True,3.536789609092873,1065.466810994115,1443.6654754412775,38.495362792749084
SARIMA,tuned,True,3.553688581329415,1070.5576691021731,1366.7419758270698,40.508915031693434
ETS,tuned,True,3.7349976117032937,1125.1774728643875,1378.3048891189094,43.46647102198982
SeasonalNaive,base,True,4.0032554973512084,1205.990839090776,1490.5005382876816,46.47177582191873
ARIMA,tuned,True,4.466719244215903,1345.6104645029764,1674.6831188646293,50.98198909268948
ETS,base,True,5.74963585641951,1732.0923372334662,1974.9850800555082,70.5628697181993
