h3_index,district,res_poi,total_poi,inhabited,weight,pop_est,district_population,district_income_median,poi_community,poi_education,poi_entertainment,poi_exercise,poi_food_drink,poi_healthcare,poi_other,poi_residential,poi_shopping,poi_transport,poi_work,activity_score
88650542b7fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865054e59fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057853fffff,Gombak,2,20,True,3.0,2507.439446366782,966200,10180,2,0,0,1,1,0,6,2,3,1,4,11.6
8865057851fffff,Gombak,2,2,True,3.0,2507.439446366782,966200,10180,0,0,0,0,0,0,0,1,0,0,0,1.0
8865057a5dfffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865054c51fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865054e19fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865054739fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057a99fffff,Gombak,2,25,True,3.0,2507.439446366782,966200,10180,1,0,0,3,9,2,1,2,5,0,2,14.8
8865056063fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057a3dfffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
88650578cdfffff,Gombak,1,4,True,2.0,1671.6262975778548,966200,10180,0,0,0,0,1,0,0,1,0,1,1,3.1
88650571a3fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057159fffff,Gombak,7,18,True,8.0,6686.505190311419,966200,10180,0,1,0,6,1,0,0,7,1,2,0,12.3
886505454dfffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865056145fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
88650545c9fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057aabfffff,Gombak,1,17,True,2.0,1671.6262975778548,966200,10180,0,0,0,2,1,0,0,1,2,1,10,14.3
8865054569fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057b45fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
886505718dfffff,Gombak,0,1,False,0.0,0.0,966200,10180,1,0,0,0,0,0,0,0,0,0,0,0.4
8865054ccbfffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865055591fffff,Gombak,1,1,True,2.0,1671.6262975778548,966200,10180,0,0,0,0,0,0,0,1,0,0,0,1.0
8865057325fffff,Gombak,20,321,True,21.0,17552.076124567473,966200,10180,2,1,0,3,2,0,1,20,126,1,165,277.5
8865057a2dfffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865056105fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
88650545a1fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865054403fffff,Gombak,4,36,True,5.0,4179.065743944637,966200,10180,5,1,0,3,3,0,2,4,2,4,12,25.4
8865057addfffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
886505449dfffff,Gombak,11,34,True,12.0,10029.757785467127,966200,10180,2,2,0,4,4,0,1,11,8,2,0,23.4
8865054ee9fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865056155fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
88650540a7fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865056141fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057b49fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057a85fffff,Gombak,0,1,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,1,1.0
886505452dfffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865056117fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865056111fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057aa5fffff,Gombak,2,19,True,3.0,2507.439446366782,966200,10180,3,0,0,0,3,0,1,2,10,0,0,11.9
8865054521fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
88650544e5fffff,Gombak,7,10,True,8.0,6686.505190311419,966200,10180,2,0,0,1,0,0,0,7,0,0,0,8.2
886505443dfffff,Gombak,8,46,True,9.0,7522.318339100346,966200,10180,1,2,0,9,9,4,1,8,10,2,0,27.9
8865057a9bfffff,Gombak,2,2,True,3.0,2507.439446366782,966200,10180,0,0,0,0,0,0,0,2,0,0,0,2.0
88650571c1fffff,Gombak,0,0,False,0.0,0.0,966200,10180,0,0,0,0,0,0,0,0,0,0,0,0.0
8865057ad3fffff,Gombak,0,4,True,1.0,835.8131487889274,966200,10180,0,1,1,1,0,0,0,0,0,1,0,2.2
