month,national_ev
2020-01-01,5
2020-02-01,5
2020-03-01,3
2020-05-01,1
2020-06-01,3
2020-07-01,4
2020-08-01,1
2020-09-01,8
2020-10-01,17
2020-11-01,16
2020-12-01,8
2021-01-01,6
2021-02-01,14
2021-03-01,24
2021-04-01,24
2021-05-01,32
2021-06-01,1
2021-07-01,12
2021-08-01,58
2021-09-01,41
2021-10-01,23
2021-11-01,13
2021-12-01,9
2022-01-01,12
2022-02-01,37
2022-03-01,119
2022-04-01,249
2022-05-01,134
2022-06-01,154
2022-07-01,156
2022-08-01,199
2022-09-01,474
2022-10-01,327
2022-11-01,422
2022-12-01,846
2023-01-01,365
2023-02-01,481
2023-03-01,926
2023-04-01,681
2023-05-01,1074
2023-06-01,882
2023-07-01,937
2023-08-01,1144
2023-09-01,898
2023-10-01,1372
2023-11-01,1558
2023-12-01,2983
2024-01-01,1403
2024-02-01,1026
2024-03-01,2260
2024-04-01,1609
2024-05-01,2453
2024-06-01,1912
2024-07-01,1884
2024-08-01,1774
2024-09-01,1513
2024-10-01,1569
2024-11-01,1805
2024-12-01,2581
2025-01-01,1691
2025-02-01,2160
2025-03-01,2976
2025-04-01,2892
2025-05-01,4152
2025-06-01,3272
2025-07-01,2792
2025-08-01,3461
2025-09-01,3532
2025-10-01,4345
2025-11-01,5417
2025-12-01,8123
2026-01-01,6239
2026-02-01,3635
2026-03-01,4717
