rank,feature,coefficient,odds_ratio,abs_coefficient,shap_rank,shap_mean_abs,boot_ci_low,boot_ci_high,boot_pct_negative,boot_ci_crosses_zero,model,shap_model
1,poi_transport,0.9856957190106277,2.6796755372701133,0.9856957190106277,2,0.57331336,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
2,poi_food_drink,0.8546873272050167,2.350639284703505,0.8546873272050167,3,0.322501,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
3,pop_est,0.522718437766952,1.6866063578337602,0.522718437766952,5,0.1605796,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
4,poi_other,0.5192465017152615,1.6807607221237755,0.5192465017152615,4,0.18105969,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
5,poi_exercise,0.49332001531473874,1.6377445408722773,0.49332001531473874,8,0.100361265,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
6,poi_residential,-0.4598734425684985,0.6313635441994302,0.4598734425684985,10,0.057334892,-0.8433756307998608,-0.2651226266632769,99.3,NO,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
7,poi_entertainment,-0.40351566645450554,0.6679675620335951,0.40351566645450554,12,0.025260845,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
8,poi_healthcare,-0.2971890466630809,0.7429035556477355,0.2971890466630809,16,0.018498138,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
9,equity_mult,-0.24971695031793023,0.7790212535860315,0.24971695031793023,15,0.019858068,-0.6638890810977143,0.3946392990420351,83.2,YES,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
10,poi_work,0.24489218593183915,1.2774835750787283,0.24489218593183915,9,0.07284727,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
11,poi_community,0.13708577126816376,1.1469265176436245,0.13708577126816376,14,0.020983683,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
12,poi_education,-0.07099731143881592,0.9314643964232462,0.07099731143881592,13,0.025205752,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
13,activity_score,0.055616502364102524,1.0571921752859035,0.055616502364102524,1,0.764119,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
14,poi_shopping,-0.005988680342884881,0.9940292160601389,0.005988680342884881,11,0.04559296,,,,,"LogisticRegression standardised, inference set C (spec ii)","XGBoost (tuned), set D"
