top_k,district,mean_sites,std_sites,min_sites,max_sites,n_seeds_zero,n_seeds
20,WP Kuala Lumpur,10.0,1.1832159566199232,9,12,0,10
20,Petaling,7.6,0.9165151389911679,6,9,0,10
20,Sepang,1.0,0.7745966692414834,0,2,3,10
20,Gombak,0.8,0.6,0,2,3,10
20,Klang,0.4,0.48989794855663565,0,1,6,10
20,WP Putrajaya,0.2,0.4000000000000001,0,1,8,10
20,Hulu Langat,0.0,0.0,0,0,10,10
50,WP Kuala Lumpur,25.9,1.6401219466856725,24,29,0,10
50,Petaling,14.4,1.5620499351813308,11,17,0,10
50,Sepang,3.3,0.6403124237432849,3,5,0,10
50,WP Putrajaya,2.4,1.019803902718557,1,4,0,10
50,Gombak,2.0,0.4472135954999579,1,3,0,10
50,Hulu Langat,1.0,0.7745966692414834,0,3,2,10
50,Klang,1.0,0.0,1,1,0,10
