model,variant,feature_set,n_features,pr_auc__randomCV,random_baseline__randomCV,lift_over_random__randomCV,roc_auc__randomCV,brier__randomCV,f1_at_0.5__randomCV,precision@10__randomCV,recall@10__randomCV,precision@20__randomCV,recall@20__randomCV,precision@50__randomCV,recall@50__randomCV,pr_auc__spatialCV,lift_over_random__spatialCV,roc_auc__spatialCV,brier__spatialCV,f1_at_0.5__spatialCV,precision@10__spatialCV,recall@10__spatialCV,precision@20__spatialCV,recall@20__spatialCV,precision@50__spatialCV,recall@50__spatialCV,best_params
XGBoost,tuned,D,22,0.5128224263312761,0.055458406195353485,9.24697375046891,0.9405032512014792,0.036179933696985245,0.3277591973244147,1.0,0.04504504504504504,0.85,0.07657657657657657,0.66,0.14864864864864866,0.4939880479903556,8.90736106353781,0.9335278812269028,0.036941468715667725,0.35526315789473684,0.9,0.04054054054054054,0.85,0.07657657657657657,0.72,0.16216216216216217,"{""colsample_bytree"": 0.5979914312095727, ""learning_rate"": 0.011662890273931383, ""max_depth"": ""6"", ""min_child_weight"": ""2"", ""n_estimators"": ""252"", ""reg_lambda"": 0.8647353196186649, ""scale_pos_weight"": 1.0, ""subsample"": 0.7123738038749523}"
RandomForest,tuned,D,22,0.5092366428553959,0.055458406195353485,9.182316582658332,0.9369691034594501,0.0363791630000965,0.32894736842105265,0.9,0.04054054054054054,0.85,0.07657657657657657,0.74,0.16666666666666666,0.4850682626168233,8.746523672320468,0.9271529530059021,0.03796132050448483,0.3509933774834437,0.9,0.04054054054054054,0.9,0.08108108108108109,0.78,0.17567567567567569,"{""class_weight"": ""None"", ""max_depth"": ""6"", ""max_features"": 0.7, ""min_samples_leaf"": ""15"", ""n_estimators"": ""654""}"
LightGBM,tuned,D,22,0.5072140997816358,0.055458406195353485,9.145847033449947,0.9372145221126973,0.043592409960730195,0.5577689243027888,0.9,0.04054054054054054,0.8,0.07207207207207207,0.68,0.15315315315315314,0.4769564625910225,8.60025549437776,0.9286248692490428,0.04527012601693601,0.48739495798319327,0.8,0.036036036036036036,0.8,0.07207207207207207,0.76,0.17117117117117117,"{""colsample_bytree"": 0.857297552089976, ""learning_rate"": 0.011499043103274873, ""max_depth"": ""5"", ""min_child_samples"": ""32"", ""n_estimators"": ""257"", ""num_leaves"": ""61"", ""reg_lambda"": 0.06731287273650882, ""scale_pos_weight"": 4.126927614040683, ""subsample"": 0.98505936587117}"
RandomForest,base,D,22,0.49440200738619816,0.055458406195353485,8.914825385436718,0.9361202646709127,0.03675893704721459,0.3223684210526316,0.9,0.04054054054054054,0.8,0.07207207207207207,0.64,0.14414414414414414,0.4899723735683304,8.834952303576696,0.926638288645694,0.03764462590557082,0.3618421052631579,0.8,0.036036036036036036,0.85,0.07657657657657657,0.7,0.15765765765765766,
LightGBM,base,D,22,0.46575494932422806,0.055458406195353485,8.398275054706689,0.9164540102122751,0.04631000759969825,0.39882697947214074,0.8,0.036036036036036036,0.65,0.05855855855855856,0.68,0.15315315315315314,0.4649866695995958,8.384421794626945,0.9148707024930245,0.04695398118921718,0.38011695906432746,0.9,0.04054054054054054,0.85,0.07657657657657657,0.64,0.14414414414414414,
XGBoost,base,D,22,0.454908559568494,0.055458406195353485,8.20269803582289,0.915886926333898,0.041922032833099365,0.3988439306358382,0.8,0.036036036036036036,0.7,0.06306306306306306,0.68,0.15315315315315314,0.439741001662617,7.929203737186738,0.9041920126950543,0.0428064689040184,0.36363636363636365,0.7,0.03153153153153153,0.75,0.06756756756756757,0.64,0.14414414414414414,
DecisionTree,tuned,D,22,0.44166736841642906,0.055458406195353485,7.9639390800493945,0.8938909816984402,0.11051762981880903,0.36363636363636365,0.7,0.03153153153153153,0.7,0.06306306306306306,0.72,0.16216216216216217,0.39443581387984755,7.112281815139774,0.8713797770264314,0.11146174846349516,0.348643006263048,0.8,0.036036036036036036,0.7,0.06306306306306306,0.66,0.14864864864864866,"{""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": ""10"", ""min_samples_leaf"": ""44"", ""min_samples_split"": ""9""}"
LogisticRegression,tuned,D,22,0.43799345765710107,0.055458406195353485,7.897692842348539,0.9153591570941478,0.10226603415416301,0.41204819277108434,0.8,0.036036036036036036,0.8,0.07207207207207207,0.64,0.14414414414414414,0.38384283680027254,6.921274214916626,0.8137927665830338,0.1347587691318033,0.32225579053373615,0.8,0.036036036036036036,0.75,0.06756756756756757,0.6,0.13513513513513514,"{""m__C"": 7.264803074826735, ""m__penalty"": ""l2"", ""m__solver"": ""saga""}"
LogisticRegression,base,D,22,0.4376063836895931,0.055458406195353485,7.890713305898384,0.915522372412084,0.10224572385178371,0.4106280193236715,0.8,0.036036036036036036,0.8,0.07207207207207207,0.64,0.14414414414414414,0.38393394901280936,6.922917107649892,0.8133436266205376,0.13392662094935293,0.3225806451612903,0.8,0.036036036036036036,0.75,0.06756756756756757,0.6,0.13513513513513514,
DecisionTree,base,D,22,0.15012211789170354,0.055458406195353485,2.7069317023445465,0.6476240853389755,0.0729452910317262,0.33636363636363636,0.1,0.0045045045045045045,0.15,0.013513513513513514,0.4,0.09009009009009009,0.15250157459125732,2.7498369508504643,0.6598193671057992,0.0779415438421184,0.34177215189873417,0.3,0.013513513513513514,0.25,0.02252252252252252,0.44,0.0990990990990991,
