h3_index,district,lat,lon,pop_est,activity_score,equity_mult,has_station,oof_proba_randomCV,oof_proba_spatialCV,rank_randomCV,champion_model,feature_set,DIAGNOSTIC_ONLY
88650542b7fffff,Gombak,3.244925949290787,101.81852360251324,0.0,0.0,1.0,0,0.0037764753,0.0036986754,3500,XGBoost (tuned),D,not a siting recommendation
8865054e59fffff,Gombak,3.3022477872659315,101.7832684945779,0.0,0.0,1.0,0,0.0040390347,0.0037262694,2823,XGBoost (tuned),D,not a siting recommendation
8865057853fffff,Gombak,3.326174732907921,101.582610003941,2507.439446366782,11.6,1.0,0,0.15284596,0.13480386,402,XGBoost (tuned),D,not a siting recommendation
8865057851fffff,Gombak,3.325455357575781,101.59156315892648,2507.439446366782,1.0,1.0,0,0.0059346748,0.007875294,1680,XGBoost (tuned),D,not a siting recommendation
8865057a5dfffff,Gombak,3.2681150126526384,101.6268768813176,0.0,0.0,1.0,0,0.0037626922,0.0039467486,3544,XGBoost (tuned),D,not a siting recommendation
8865054c51fffff,Gombak,3.3669572741422864,101.75318427521005,0.0,0.0,1.0,0,0.0039669117,0.0037262694,3036,XGBoost (tuned),D,not a siting recommendation
8865054e19fffff,Gombak,3.31914372762288,101.76680179042842,0.0,0.0,1.0,0,0.004125696,0.0037262694,2658,XGBoost (tuned),D,not a siting recommendation
8865054739fffff,Gombak,3.2337923297277227,101.76343107667816,0.0,0.0,1.0,0,0.0037603874,0.0036534914,3565,XGBoost (tuned),D,not a siting recommendation
8865057a99fffff,Gombak,3.2826693713890336,101.54254350007793,2507.439446366782,14.8,1.0,1,0.049025152,0.15831196,872,XGBoost (tuned),D,not a siting recommendation
8865056063fffff,Gombak,3.313402588330069,101.45063583139604,0.0,0.0,1.0,0,0.003575286,0.004040748,3866,XGBoost (tuned),D,not a siting recommendation
8865057a3dfffff,Gombak,3.3078374959705625,101.61700071757272,0.0,0.0,1.0,0,0.0038642776,0.0039467486,3250,XGBoost (tuned),D,not a siting recommendation
88650578cdfffff,Gombak,3.335703870896597,101.56093466378545,1671.6262975778548,3.1,1.0,0,0.046018064,0.037126657,900,XGBoost (tuned),D,not a siting recommendation
88650571a3fffff,Gombak,3.268646268036305,101.52322018128004,0.0,0.0,1.0,0,0.003875148,0.003965431,3211,XGBoost (tuned),D,not a siting recommendation
8865057159fffff,Gombak,3.209166821958711,101.58539909898408,6686.505190311419,12.3,1.0,0,0.04623354,0.09576784,899,XGBoost (tuned),D,not a siting recommendation
886505454dfffff,Gombak,3.263975325492137,101.77522867954168,0.0,0.0,1.0,0,0.004012065,0.0036534914,2909,XGBoost (tuned),D,not a siting recommendation
8865056145fffff,Gombak,3.3488295365269938,101.49447683330354,0.0,0.0,1.0,0,0.0040018894,0.004040748,2965,XGBoost (tuned),D,not a siting recommendation
88650545c9fffff,Gombak,3.261644770795865,101.70741740248988,0.0,0.0,1.0,0,0.0035691233,0.0036469363,3910,XGBoost (tuned),D,not a siting recommendation
8865057aabfffff,Gombak,3.312152216925069,101.56328495386204,1671.6262975778548,14.3,1.0,0,0.052594963,0.11221757,848,XGBoost (tuned),D,not a siting recommendation
8865054569fffff,Gombak,3.2794277320389105,101.776655253455,0.0,0.0,1.0,0,0.00407275,0.003702993,2762,XGBoost (tuned),D,not a siting recommendation
8865057b45fffff,Gombak,3.3337167174304625,101.68250081588062,0.0,0.0,1.0,0,0.0041113426,0.003719584,2695,XGBoost (tuned),D,not a siting recommendation
886505718dfffff,Gombak,3.24438243016463,101.53452572461048,0.0,0.4,1.0,0,0.004140825,0.00410294,2641,XGBoost (tuned),D,not a siting recommendation
8865054ccbfffff,Gombak,3.370563658766791,101.70843566831168,0.0,0.0,1.0,0,0.0038671864,0.003719584,3236,XGBoost (tuned),D,not a siting recommendation
8865055591fffff,Gombak,3.1624798879443854,101.77937319569322,1671.6262975778548,1.0,1.0,0,0.0061227144,0.006253554,1653,XGBoost (tuned),D,not a siting recommendation
8865057325fffff,Gombak,3.213664768454634,101.62638118078836,17552.076124567473,277.5,1.0,0,0.19587557,0.2339302,330,XGBoost (tuned),D,not a siting recommendation
8865057a2dfffff,Gombak,3.313768313429678,101.64008955638296,0.0,0.0,1.0,0,0.0036062833,0.0039467486,3801,XGBoost (tuned),D,not a siting recommendation
8865056105fffff,Gombak,3.3657331992118893,101.477977184128,0.0,0.0,1.0,0,0.0043477993,0.004040748,2329,XGBoost (tuned),D,not a siting recommendation
88650545a1fffff,Gombak,3.3094498192292807,101.69379090752822,0.0,0.0,1.0,0,0.0035691233,0.003719584,3910,XGBoost (tuned),D,not a siting recommendation
8865054403fffff,Gombak,3.2307392068823164,101.7045703718262,4179.065743944637,25.4,1.0,0,0.18366016,0.28796077,354,XGBoost (tuned),D,not a siting recommendation
8865057addfffff,Gombak,3.273144280507096,101.564217185176,0.0,0.0,1.0,0,0.00381995,0.0039690468,3400,XGBoost (tuned),D,not a siting recommendation
886505449dfffff,Gombak,3.2284001755581864,101.63675033821748,10029.757785467127,23.4,1.0,0,0.19985448,0.21767913,321,XGBoost (tuned),D,not a siting recommendation
8865054ee9fffff,Gombak,3.336041497448619,101.750332473296,0.0,0.0,1.0,0,0.0037594978,0.0037262694,3581,XGBoost (tuned),D,not a siting recommendation
8865056155fffff,Gombak,3.3428943866983283,101.47137716463617,0.0,0.0,1.0,0,0.004236994,0.004040748,2499,XGBoost (tuned),D,not a siting recommendation
88650540a7fffff,Gombak,3.30745236991276,101.81529247850372,0.0,0.0,1.0,0,0.0037764753,0.0037723498,3500,XGBoost (tuned),D,not a siting recommendation
8865056141fffff,Gombak,3.341456751331509,101.48929105637797,0.0,0.0,1.0,0,0.0041912636,0.004040748,2563,XGBoost (tuned),D,not a siting recommendation
8865057b49fffff,Gombak,3.318258439401637,101.68107797679964,0.0,0.0,1.0,0,0.0041113426,0.003719584,2695,XGBoost (tuned),D,not a siting recommendation
8865057a85fffff,Gombak,3.304062595690397,101.56705272048804,0.0,1.0,1.0,0,0.0040368177,0.0044904156,2825,XGBoost (tuned),D,not a siting recommendation
886505452dfffff,Gombak,3.303688645591756,101.76537545935354,0.0,0.0,1.0,0,0.004125696,0.0037262694,2658,XGBoost (tuned),D,not a siting recommendation
8865056117fffff,Gombak,3.3605166175860712,101.44591703685656,0.0,0.0,1.0,0,0.0041423296,0.004040748,2639,XGBoost (tuned),D,not a siting recommendation
8865056111fffff,Gombak,3.352424028754781,101.44968967582192,0.0,0.0,1.0,0,0.004307477,0.004040748,2387,XGBoost (tuned),D,not a siting recommendation
8865057aa5fffff,Gombak,3.3268940504585927,101.57365654642444,2507.439446366782,11.9,1.0,0,0.087749496,0.073732786,629,XGBoost (tuned),D,not a siting recommendation
8865054521fffff,Gombak,3.304408990226316,101.75642847486073,0.0,0.0,1.0,0,0.0039669117,0.0037262694,3036,XGBoost (tuned),D,not a siting recommendation
88650544e5fffff,Gombak,3.2483479227247187,101.67915086622536,6686.505190311419,8.2,1.0,0,0.01895702,0.028773492,1208,XGBoost (tuned),D,not a siting recommendation
886505443dfffff,Gombak,3.2461915374362458,101.70599382370732,7522.318339100346,27.9,1.0,0,0.10277632,0.13900676,562,XGBoost (tuned),D,not a siting recommendation
8865057a9bfffff,Gombak,3.2833876116188887,101.53358996515422,2507.439446366782,2.0,1.0,0,0.011847989,0.011061076,1405,XGBoost (tuned),D,not a siting recommendation
88650571c1fffff,Gombak,3.2282083041394536,101.54206159629749,0.0,0.0,1.0,0,0.00375289,0.0039412696,3605,XGBoost (tuned),D,not a siting recommendation
8865057ad3fffff,Gombak,3.2745807059276766,101.54631169444517,835.8131487889274,2.2,1.0,0,0.023549303,0.018588899,1129,XGBoost (tuned),D,not a siting recommendation
8865057a17fffff,Gombak,3.293816902394189,101.59767746573152,0.0,0.0,1.0,0,0.003981523,0.0039467486,2997,XGBoost (tuned),D,not a siting recommendation
8865054e47fffff,Gombak,3.324348421055138,101.7988289581648,0.0,0.0,1.0,0,0.0035691233,0.003749759,3910,XGBoost (tuned),D,not a siting recommendation
886505452bfffff,Gombak,3.2970417172111137,101.75124202859053,0.0,0.0,1.0,0,0.0040718797,0.0037262694,2763,XGBoost (tuned),D,not a siting recommendation
8865057a45fffff,Gombak,3.2821337194782068,101.64619800045256,2507.439446366782,2.6,1.0,0,0.016257111,0.018435333,1273,XGBoost (tuned),D,not a siting recommendation
8865056151fffff,Gombak,3.335521332405324,101.4661916124803,0.0,0.0,1.0,0,0.004236994,0.004040748,2499,XGBoost (tuned),D,not a siting recommendation
88650544a1fffff,Gombak,3.257871824784613,101.65749036775618,1671.6262975778548,117.9,1.0,0,0.32820052,0.3176511,175,XGBoost (tuned),D,not a siting recommendation
886505714bfffff,Gombak,3.2158175985952964,101.59953323986292,835.8131487889274,14.1,1.0,0,0.068353675,0.068205714,754,XGBoost (tuned),D,not a siting recommendation
8865054597fffff,Gombak,3.288783258230382,101.66033365876268,0.0,0.0,1.0,0,0.003856893,0.003719584,3255,XGBoost (tuned),D,not a siting recommendation
8865057101fffff,Gombak,3.240076208868817,101.58823587548945,0.0,0.0,1.0,0,0.0038718472,0.0039690468,3221,XGBoost (tuned),D,not a siting recommendation
88650540edfffff,Gombak,3.281751461388544,101.84445470518232,0.0,0.0,1.0,0,0.003825541,0.003819785,3366,XGBoost (tuned),D,not a siting recommendation
88650545c7fffff,Gombak,3.277818332455021,101.6998930146309,0.0,0.0,1.0,0,0.0035691233,0.0036963532,3910,XGBoost (tuned),D,not a siting recommendation
8865054431fffff,Gombak,3.246910387861429,101.69704647885992,835.8131487889274,9.5,1.0,0,0.07725075,0.08113354,688,XGBoost (tuned),D,not a siting recommendation
886505719dfffff,Gombak,3.2384472078181874,101.51143565722104,0.0,0.0,1.0,0,0.0037756267,0.003965431,3518,XGBoost (tuned),D,not a siting recommendation
886505615dfffff,Gombak,3.334802712883207,101.47514866743217,0.0,0.0,1.0,0,0.0042496044,0.004040748,2465,XGBoost (tuned),D,not a siting recommendation
8865054eabfffff,Gombak,3.3536620772100263,101.72491119777436,0.0,0.0,1.0,0,0.0037603874,0.003719584,3565,XGBoost (tuned),D,not a siting recommendation
88650571e1fffff,Gombak,3.251034613729749,101.54866270661944,0.0,0.4,1.0,0,0.0040296447,0.00407705,2837,XGBoost (tuned),D,not a siting recommendation
8865057ad7fffff,Gombak,3.2819510742534503,101.55149673444468,0.0,0.5,1.0,0,0.004390679,0.0049329363,2274,XGBoost (tuned),D,not a siting recommendation
886505710dfffff,Gombak,3.2393583101936083,101.597186510527,0.0,0.0,1.0,0,0.00375289,0.0039467486,3605,XGBoost (tuned),D,not a siting recommendation
8865054425fffff,Gombak,3.2602063259261262,101.72531191554488,0.0,0.5,1.0,0,0.004397006,0.004445228,2272,XGBoost (tuned),D,not a siting recommendation
