name,latitude,longitude,poi_type,category,district,state
Unknown,3.1092941,101.7288218,parking,transport,WP Kuala Lumpur,W.P. Kuala Lumpur
KFC,2.9917474000000004,101.7887923,fast_food,food_drink,Hulu Langat,Selangor
Unknown,2.9764758,101.7251707,place_of_worship,community,Sepang,Selangor
KA07 Kepong Sentral,3.2087148,101.6285344,station,transport,Gombak,Selangor
Unknown,2.9912706,101.7951213,parking,transport,Hulu Langat,Selangor
Restaurant Char Taro,2.9899834,101.7909561,restaurant,food_drink,Hulu Langat,Selangor
KFC,2.9913905,101.7947533,fast_food,food_drink,Hulu Langat,Selangor
Maybank,2.9423355,101.764085,bank,other,Hulu Langat,Selangor
Maybank,2.9600053,101.752172,bank,other,Hulu Langat,Selangor
TF Value-Mart,3.0807608,101.730584,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
AEON Bukit Raja,3.0616588,101.4723986,department_store,shopping,Klang,Selangor
Beryani Gam Putrajaya,2.9761367,101.7258023,restaurant,food_drink,Sepang,Selangor
Unknown,2.9402386,101.7106316,parking,transport,WP Putrajaya,W.P. Putrajaya
Unknown,2.9386116,101.7109381,parking,transport,WP Putrajaya,W.P. Putrajaya
Shell,3.0713189,101.44487519999998,fuel,transport,Klang,Selangor
Sungai Bagan Seafood,3.0017981,101.3731504,restaurant,food_drink,Klang,Selangor
Muara Ikan Bakar Tanjung Harapan,3.0111497,101.3601635,restaurant,food_drink,Klang,Selangor
Restoran Sri Muara,3.0062335,101.3615707,restaurant,food_drink,Klang,Selangor
Bangkok Bank,3.146063100000001,101.69639119999998,bank,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Sate Kajang Hj Samuri,2.9935811,101.7870848,restaurant,food_drink,Hulu Langat,Selangor
Restoran Hassan,2.8517302999999994,101.7384097,restaurant,food_drink,Sepang,Selangor
Surau Petronas,3.2405148,101.70295869999998,place_of_worship,community,Gombak,Selangor
McDonald's,3.1329218,101.6722804,fast_food,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Village View,2.9717419,101.75095469999998,restaurant,food_drink,Hulu Langat,Selangor
Restoran Tok Ayah Garden,2.9757756000000004,101.7522632,restaurant,food_drink,Hulu Langat,Selangor
Pusat Perubatan Kajang Plaza (KPMC),2.9956053,101.78804979999998,hospital,healthcare,Hulu Langat,Selangor
Pasar Malam,3.0109773000000004,101.80330659999998,marketplace,food_drink,Hulu Langat,Selangor
Poliklinik Az-Zahrah,2.9745475,101.8285914,clinic,healthcare,Hulu Langat,Selangor
Pejabat Pos Batu 18 Jalan Semenyih,2.9744312,101.8287507,post_office,other,Hulu Langat,Selangor
Restoran Foong Yan Loy,2.9739655,101.828671,restaurant,food_drink,Hulu Langat,Selangor
Restoran Ibrahim Maju,2.9737352,101.8283944,restaurant,food_drink,Hulu Langat,Selangor
7-Eleven,2.9728588000000005,101.82874459999998,convenience,shopping,Hulu Langat,Selangor
The Store,2.9439828999999995,101.8448602,supermarket,shopping,Hulu Langat,Selangor
KFC,2.9438005,101.8448577,fast_food,food_drink,Hulu Langat,Selangor
Malee Classic II,2.9996241,101.7884951,restaurant,food_drink,Hulu Langat,Selangor
Medishop Pharmacy,2.991628,101.7910119,pharmacy,healthcare,Hulu Langat,Selangor
Bank Islam,2.9914155,101.7915895,bank,other,Hulu Langat,Selangor
McDonald's,2.9916013,101.7912247,fast_food,food_drink,Hulu Langat,Selangor
CU,2.9916746,101.7902777,convenience,shopping,Hulu Langat,Selangor
Mee Bandung House (Muar),3.1764241,101.6993415,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Restoran Haslam,3.1764223999999994,101.699189,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
7-Eleven,3.1764176,101.6987407,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Careefour Express,3.2048461999999995,101.7362294,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Neo Steamboat,3.2035127000000005,101.7365065,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Pejabat Pos Kampung Tunku,3.0975889,101.6190848,post_office,other,Petaling,Selangor
7-Eleven,3.0977861,101.6191877,convenience,shopping,Petaling,Selangor
Unknown,3.2388786,101.56103469999998,place_of_worship,community,Gombak,Selangor
Maybank,3.1096846999999994,101.62259489999998,bank,other,Petaling,Selangor
Maybank,3.095612799999999,101.62941399999998,bank,other,Petaling,Selangor
Caring,3.109689799999999,101.6220444,pharmacy,healthcare,Petaling,Selangor
Guardian,3.1098987,101.62178149999998,pharmacy,healthcare,Petaling,Selangor
7-Eleven,3.1094858,101.6222662,convenience,shopping,Petaling,Selangor
Shell Select,3.1642841,101.6518496,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Souled Out,3.1635342,101.64862019999998,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
7-Eleven,3.1615887000000003,101.64966889999998,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
McDonald's,3.1191701,101.59260879999998,fast_food,food_drink,Petaling,Selangor
KFC,3.1233181999999995,101.5936499,fast_food,food_drink,Petaling,Selangor
POS Malaysia TTDI Collection Center,3.1379464,101.6295621,post_office,other,WP Kuala Lumpur,W.P. Kuala Lumpur
State Cinema,3.0984245000000006,101.6443497,cinema,entertainment,Petaling,Selangor
Food Stalls,3.1767437,101.70302680000002,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Kamdar,3.1535614,101.6967679,department_store,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
SMK Tasik Kesuma,2.8992491,101.870694,school,education,Hulu Langat,Selangor
Maybank,3.0893819,101.7420007,bank,other,WP Kuala Lumpur,W.P. Kuala Lumpur
