rank,h3_index,district,lat,lon,cdi,pop_newly_covered,demand_gain,nearest_existing_km,hex_pop,hex_activity
1,886505394bfffff,Klang,3.01453,101.39178,5.6,129556,5.49,3.79,1216,16.0
2,8865050c9dfffff,Klang,3.02712,101.42899,22.1,82423,4.6,2.6,1216,112.0
3,8865057333fffff,Petaling,3.20108,101.58916,53.2,172796,3.49,2.95,6572,288.0
4,8865051b6bfffff,Hulu Langat,2.94583,101.86289,22.8,86451,2.92,3.25,9538,53.0
5,886505763bfffff,Klang,3.09986,101.39506,12.3,31640,2.39,4.1,1216,52.0
6,8865053855fffff,Klang,2.97175,101.3428,6.1,35291,2.3,8.92,1216,18.0
7,886505714dfffff,Gombak,3.22247,101.61367,0.2,50148,2.0,3.07,0,2.0
8,8865051865fffff,Hulu Langat,2.96555,101.81071,2.3,27025,1.92,2.38,1059,5.0
9,886505391dfffff,Klang,3.03211,101.36634,7.0,34962,1.87,5.54,1216,23.0
10,8865054755fffff,Gombak,3.20954,101.77471,20.8,72297,1.73,2.02,10865,13.0
11,8865050b0dfffff,WP Kuala Lumpur,3.06461,101.73881,13.9,21568,1.45,2.01,538,102.0
12,8865053a25fffff,Klang,2.96083,101.38237,7.2,27989,1.43,5.62,1216,24.0
13,8865053aa9fffff,Klang,2.95036,101.31831,6.5,29206,1.36,12.3,1216,20.0
14,88650545d9fffff,Gombak,3.25572,101.68434,5.1,51402,1.35,2.44,2507,6.0
15,8865050b3dfffff,WP Kuala Lumpur,3.08148,101.72235,32.7,29617,1.27,1.03,2423,248.0
16,8865057665fffff,Petaling,3.10365,101.445,0.1,21175,1.18,3.25,0,1.0
17,8865050eadfffff,Klang,2.99932,101.48504,40.7,27989,1.18,1.61,8518,131.0
18,8865050819fffff,Petaling,3.05632,101.64797,4.9,42063,1.11,1.97,2628,5.0
19,8865057a47fffff,Gombak,3.28285,101.63725,3.1,37193,1.1,3.99,1671,1.0
20,88650571c3fffff,Gombak,3.22893,101.53311,0.1,41562,0.99,4.91,0,1.0
